seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682317293.910681 cpu  71762 32 16597 633085 1865 0 650 0 0 0
1682317294.010914 cpu  71762 32 16597 633125 1865 0 650 0 0 0
1682317294.110839 cpu  71762 32 16597 633164 1865 0 650 0 0 0
1682317294.210908 cpu  71762 32 16597 633204 1865 0 650 0 0 0
1682317294.310992 cpu  71762 32 16598 633243 1865 0 650 0 0 0
1682317294.411063 cpu  71762 32 16598 633283 1865 0 650 0 0 0
1682317294.511134 cpu  71762 32 16598 633322 1865 0 650 0 0 0
1682317294.611212 cpu  71762 32 16598 633362 1865 0 650 0 0 0
1682317294.711286 cpu  71762 32 16599 633401 1865 0 650 0 0 0
1682317294.811360 cpu  71762 32 16599 633441 1865 0 650 0 0 0
1682317294.911432 cpu  71762 32 16600 633481 1865 0 650 0 0 0
1682317295.011508 cpu  71762 32 16600 633521 1865 0 650 0 0 0
1682317295.111588 cpu  71762 32 16600 633560 1865 0 650 0 0 0
1682317295.211829 cpu  71762 32 16600 633600 1865 0 650 0 0 0
1682317295.311918 cpu  71779 32 16604 633619 1865 0 650 0 0 0
1682317295.412107 cpu  71790 32 16607 633644 1865 0 650 0 0 0
1682317295.512184 cpu  71801 32 16610 633671 1865 0 650 0 0 0
1682317295.612202 cpu  71808 32 16612 633701 1865 0 650 0 0 0
1682317295.712306 cpu  71808 32 16612 633740 1865 0 650 0 0 0
1682317295.812377 cpu  71808 32 16612 633780 1865 0 650 0 0 0
1682317295.912452 cpu  71808 32 16613 633820 1865 0 650 0 0 0
1682317296.012534 cpu  71808 32 16613 633859 1865 0 650 0 0 0
1682317296.112601 cpu  71808 32 16613 633899 1865 0 650 0 0 0
1682317296.212675 cpu  71808 32 16613 633939 1865 0 651 0 0 0
1682317296.312748 cpu  71808 32 16613 633979 1865 0 651 0 0 0
1682317296.412830 cpu  71808 32 16614 634018 1865 0 651 0 0 0
1682317296.512900 cpu  71808 32 16615 634058 1865 0 651 0 0 0
1682317296.612969 cpu  71808 32 16615 634097 1865 0 651 0 0 0
1682317296.713049 cpu  71808 32 16616 634136 1865 0 651 0 0 0
1682317296.813116 cpu  71808 32 16616 634176 1865 0 651 0 0 0
1682317296.913267 cpu  71808 32 16616 634216 1865 0 652 0 0 0
1682317297.013267 cpu  71808 32 16616 634255 1865 0 652 0 0 0
1682317297.113369 cpu  71808 32 16616 634295 1865 0 652 0 0 0
1682317297.213415 cpu  71808 32 16616 634334 1865 0 652 0 0 0
1682317297.313485 cpu  71808 32 16616 634374 1865 0 652 0 0 0
1682317297.413562 cpu  71808 32 16616 634413 1865 0 652 0 0 0
1682317297.514259 cpu  71808 32 16616 634453 1865 0 652 0 0 0
1682317297.614117 cpu  71825 32 16618 634474 1865 0 652 0 0 0
1682317297.714398 cpu  71836 32 16620 634500 1865 0 652 0 0 0
