seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1668151545.683548 cpu  158368 22 6472 3244790 2204 0 467 0 0 0
1668151546.033727 cpu  158368 22 6472 3244930 2204 0 467 0 0 0
1668151546.383840 cpu  158419 22 6476 3245015 2204 0 467 0 0 0
1668151546.733966 cpu  158452 22 6479 3245119 2204 0 468 0 0 0
1668151547.084061 cpu  158482 22 6485 3245224 2204 0 468 0 0 0
1668151547.434162 cpu  158512 22 6490 3245327 2204 0 468 0 0 0
1668151547.784280 cpu  158542 22 6494 3245431 2204 0 468 0 0 0
1668151548.134386 cpu  158572 22 6500 3245536 2204 0 468 0 0 0
1668151548.484599 cpu  158602 22 6505 3245640 2204 0 468 0 0 0
1668151548.834740 cpu  158634 22 6509 3245745 2204 0 468 0 0 0
1668151549.184801 cpu  158666 22 6511 3245849 2204 0 468 0 0 0
1668151549.535032 cpu  158700 22 6512 3245954 2204 0 468 0 0 0
1668151549.885215 cpu  158735 22 6512 3246058 2204 0 468 0 0 0
1668151550.235389 cpu  158789 22 6517 3246140 2204 0 468 0 0 0
1668151550.585401 cpu  158822 22 6521 3246241 2204 0 468 0 0 0
1668151550.935735 cpu  158851 22 6531 3246342 2204 0 468 0 0 0
1668151551.285663 cpu  158940 22 6540 3246389 2204 0 468 0 0 0
1668151551.635892 cpu  158997 22 6546 3246463 2204 0 468 0 0 0
1668151551.986031 cpu  159032 22 6547 3246568 2204 0 468 0 0 0
1668151552.336143 cpu  159067 22 6547 3246672 2204 0 468 0 0 0
1668151552.686648 cpu  159156 22 6566 3246702 2204 0 468 0 0 0
1668151553.036878 cpu  159272 22 6581 3246708 2204 0 468 0 0 0
1668151553.387047 cpu  159407 22 6581 3246717 2204 0 468 0 0 0
1668151553.737266 cpu  159536 22 6581 3246727 2204 0 468 0 0 0
1668151554.087349 cpu  159657 22 6582 3246742 2204 0 469 0 0 0
1668151554.437689 cpu  159780 22 6587 3246751 2204 0 469 0 0 0
1668151554.787736 cpu  159854 22 6588 3246815 2206 0 469 0 0 0
1668151555.137917 cpu  159890 22 6589 3246918 2206 0 469 0 0 0
1668151555.488082 cpu  159925 22 6589 3247022 2206 0 469 0 0 0
1668151555.838269 cpu  159960 22 6589 3247127 2206 0 469 0 0 0
1668151556.188160 cpu  159994 22 6590 3247231 2206 0 469 0 0 0
1668151556.538273 cpu  160029 22 6590 3247336 2206 0 470 0 0 0
1668151556.888904 cpu  160128 22 6620 3247350 2206 0 470 0 0 0
1668151557.239017 cpu  160260 22 6621 3247356 2206 0 470 0 0 0
1668151557.590362 cpu  160388 22 6621 3247369 2206 0 470 0 0 0
1668151557.939883 cpu  160516 22 6621 3247382 2206 0 470 0 0 0
1668151558.289576 cpu  160636 22 6622 3247399 2206 0 470 0 0 0
1668151558.639769 cpu  160766 22 6623 3247409 2206 0 470 0 0 0
1668151558.990275 cpu  160829 22 6623 3247486 2206 0 470 0 0 0
