seconds cpu user nice system idle iowait irq softirq steal guest guest_nice
1682631081.662468 cpu  94488 0 5920 241979 1863 0 403 0 0 0
1682631082.162536 cpu  94563 0 5930 242093 1863 0 403 0 0 0
1682631082.662674 cpu  94642 0 5937 242207 1863 0 403 0 0 0
1682631083.162734 cpu  94736 0 5944 242306 1863 0 404 0 0 0
1682631083.662867 cpu  94783 0 5952 242451 1863 0 406 0 0 0
1682631084.162973 cpu  94863 0 5959 242564 1863 0 406 0 0 0
1682631084.663316 cpu  94933 0 5963 242688 1863 0 406 0 0 0
1682631085.163517 cpu  95004 0 5970 242811 1863 0 406 0 0 0
1682631085.663458 cpu  95079 0 5978 242927 1863 0 407 0 0 0
1682631086.163594 cpu  95150 0 5986 243047 1863 0 407 0 0 0
1682631086.663969 cpu  95247 0 5991 243146 1863 0 407 0 0 0
1682631087.164103 cpu  95278 0 5996 243308 1863 0 408 0 0 0
1682631087.664104 cpu  95350 0 5999 243432 1863 0 408 0 0 0
1682631088.164171 cpu  95421 0 6008 243553 1863 0 409 0 0 0
1682631088.664299 cpu  95503 0 6017 243661 1863 0 409 0 0 0
1682631089.164393 cpu  95596 0 6022 243764 1863 0 409 0 0 0
1682631089.664458 cpu  95652 0 6029 243902 1864 0 409 0 0 0
1682631090.164648 cpu  95744 0 6033 244005 1864 0 409 0 0 0
1682631090.664829 cpu  95798 0 6043 244140 1864 0 410 0 0 0
1682631091.164871 cpu  95867 0 6046 244268 1864 0 410 0 0 0
1682631091.664937 cpu  95938 0 6054 244389 1864 0 410 0 0 0
1682631092.165061 cpu  96021 0 6063 244496 1864 0 410 0 0 0
1682631092.665141 cpu  96109 0 6069 244601 1864 0 410 0 0 0
1682631093.165262 cpu  96175 0 6077 244727 1864 0 410 0 0 0
1682631093.665458 cpu  96264 0 6084 244831 1864 0 410 0 0 0
1682631094.165590 cpu  96315 0 6096 244968 1864 0 410 0 0 0
1682631094.665678 cpu  96382 0 6097 245099 1864 0 410 0 0 0
1682631095.165760 cpu  96449 0 6104 245223 1864 0 410 0 0 0
1682631095.665872 cpu  96533 0 6110 245333 1864 0 410 0 0 0
1682631096.165997 cpu  96621 0 6112 245442 1864 0 410 0 0 0
1682631096.666375 cpu  96673 0 6122 245581 1864 0 411 0 0 0
1682631097.166535 cpu  96764 0 6127 245684 1864 0 411 0 0 0
1682631097.666721 cpu  96826 0 6134 245816 1864 0 411 0 0 0
1682631098.166738 cpu  96899 0 6138 245939 1864 0 411 0 0 0
1682631098.666799 cpu  96970 0 6146 246058 1864 0 411 0 0 0
1682631099.166920 cpu  97054 0 6154 246165 1864 0 412 0 0 0
1682631099.667074 cpu  97141 0 6161 246271 1864 0 412 0 0 0
1682631100.167138 cpu  97189 0 6169 246414 1864 0 412 0 0 0
1682631100.667268 cpu  97279 0 6176 246517 1864 0 412 0 0 0
1682631101.167612 cpu  97333 0 6194 246645 1864 0 413 0 0 0
1682631101.667567 cpu  97402 0 6200 246770 1864 0 413 0 0 0
1682631102.167653 cpu  97479 0 6212 246879 1864 0 414 0 0 0
1682631102.667779 cpu  97561 0 6218 246991 1864 0 414 0 0 0
1682631103.167856 cpu  97654 0 6224 247091 1864 0 414 0 0 0
1682631103.668063 cpu  97698 0 6232 247238 1864 0 415 0 0 0
1682631104.168377 cpu  97792 0 6232 247342 1864 0 415 0 0 0
1682631104.668826 cpu  97850 0 6240 247476 1864 0 415 0 0 0
1682631105.168671 cpu  97918 0 6245 247602 1864 0 415 0 0 0
